Nation Name,GDP per capita,IQ average,Gini Coefficient,Life expectancy,HDI,Unemployment rate,Public debt to GDP ratio,CPI,Rule of Law Index,Democracy Index,Dummy
Suriname,0.170984456,0.7357512953,0.02590673575,0.5077720207,0.5336787565,0.2357512953,0.1968911917,0.4378238342,0.4300518135,0.7098445596,0.7098445596
Sweden,0.9378238342,0.8601036269,0.8652849741,0.9222797927,0.9637305699,0.378238342,0.774611399,0.9766839378,0.9740932642,0.9896373057,0.9896373057
Switzerland,0.9689119171,0.9274611399,0.689119171,0.9740932642,0.207253886,0.8911917098,0.7512953368,0.9611398964,0.9637305699,0.9689119171,0.9689119171
Syrian Arab Republic,0.1554404145,0.274611399,0.9274611399,0.4300518135,0.4041450777,0.1554404145,0.8808290155,0.0207253886,0.0207253886,0.01813471503,0.01813471503
Tajikistan,0.0829015544,0.6528497409,0.6632124352,0.414507772,0.689119171,0.3730569948,0.6424870466,0.1606217617,0.1968911917,0.06994818653,0.06994818653
Thailand,0.7150259067,0.689119171,0.5984455959,0.6373056995,0.3082901554,0.9740932642,0.4766839378,0.3704663212,0.4300518135,0.6424870466,0.6424870466
Timor-Leste,0.3886010363,0.3626943005,0.8756476684,0.2590673575,0.1554404145,0.4663212435,0.9481865285,0.5,0.4766839378,0.5362694301,0.5362694301
Togo,0.6321243523,0.0829015544,0.2797927461,0.0829015544,0.2979274611,0.9689119171,0.6113989637,0.2616580311,0.3031088083,0.1968911917,0.1968911917
Tonga,0.6113989637,0.5569948187,0.6813471503,0.4715025907,0.6632124352,0.06476683938,0.6683937824,0.6554404145,0.6813471503,0.6943005181,0.6943005181
Trinidad and Tobago,0.725388601,0.3523316062,0.3730569948,0.4922279793,0.6761658031,0.6917098446,0.2901554404,0.4792746114,0.5207253886,0.7564766839,0.7564766839
Tunisia,0.3730569948,0.4093264249,0.707253886,0.6424870466,0.5414507772,0.103626943,0.170984456,0.5751295337,0.5207253886,0.4352331606,0.4352331606
Türkiye,0.6010362694,0.707253886,0.3031088083,0.6683937824,0.7409326425,0.2642487047,0.725388601,0.4378238342,0.225388601,0.3626943005,0.3626943005
Turkmenistan,0.310880829,0.6062176166,0.3445595855,0.3316062176,0.5051813472,0.7435233161,0.7357512953,0.07772020725,0.1968911917,0.04663212435,0.04663212435
Tuvalu,0.932642487,0.5569948187,0.4093264249,0.1865284974,0.3575129534,0.3549222798,0.8082901554,0.6139896373,0.5829015544,0.6735751295,0.6735751295
Uganda,0.1191709845,0.3212435233,0.2694300518,0.2694300518,0.170984456,0.7124352332,0.6606217617,0.189119171,0.170984456,0.3523316062,0.3523316062
Ukraine,0.4222797927,0.7305699482,0.9585492228,0.4870466321,0.6165803109,0.3134715026,0.5647668394,0.3134715026,0.4300518135,0.414507772,0.414507772
United Arab Emirates,0.7875647668,0.4844559585,0.9663212435,0.9170984456,0.8911917098,0.8056994819,0.7875647668,0.8523316062,0.7694300518,0.1813471503,0.1813471503
United Kingdom of Great Britain and Northern Ireland,0.8911917098,0.9170984456,0.7227979275,0.8238341969,0.9274611399,0.7435233161,0.1295336788,0.8937823834,0.8886010363,0.9300518135,0.9300518135
United Republic of Tanzania,0.1658031088,0.2797927461,0.3652849741,0.2176165803,0.1813471503,0.8626943005,0.8134715026,0.4041450777,0.3575129534,0.4274611399,0.4274611399
United States of America,0.9637305699,0.8704663212,0.3937823834,0.7720207254,0.9170984456,0.7668393782,0.06735751295,0.8678756477,0.8341968912,0.8678756477,0.8678756477
Uruguay,0.3678756477,0.6476683938,0.3445595855,0.7409326425,0.7227979275,0.3238341969,0.4041450777,0.8937823834,0.8471502591,0.9585492228,0.9585492228
Uzbekistan,0.7098445596,0.6994818653,0.5829015544,0.4404145078,0.4844559585,0.6088082902,0.8497409326,0.2849740933,0.4766839378,0.103626943,0.103626943
Vanuatu,0.3316062176,0.792746114,0.7357512953,0.3860103627,0.2875647668,0.6295336788,0.5284974093,0.7823834197,0.6813471503,0.6943005181,0.6943005181
Bolivarian Republic of Venezuela,0.1968911917,0.5025906736,0.2176165803,0.4455958549,0.4455958549,0.4274611399,0.0310880829,0.02590673575,0.02590673575,0.2616580311,0.2616580311
Viet Nam,0.3626943005,0.7150259067,0.5336787565,0.5492227979,0.4378238342,0.9404145078,0.7020725389,0.3704663212,0.4300518135,0.2227979275,0.2227979275
Yemen,0.0932642487,0.103626943,0.5440414508,0.310880829,0.04663212435,0.1761658031,0.3264248705,0.03626943005,0.01295336788,0.07772020725,0.07772020725
Zambia,0.1088082902,0.1761658031,0.03626943005,0.1968911917,0.2176165803,0.170984456,0.03626943005,0.3134715026,0.3031088083,0.4766839378,0.4766839378
Zimbabwe,0.207253886,0.2642487047,0.09844559585,0.08808290155,0.2461139896,0.6088082902,0.1450777202,0.1191709845,0.1968911917,0.1865284974,0.1865284974
