Nation Name,GDP per capita,IQ average,Gini Coefficient,Life expectancy,HDI,Unemployment rate,Public debt to GDP ratio,CPI,Rule of Law Index,Democracy Index,Dummy
Central African Republic,0.01554404145,0.09585492228,0.2616580311,0.0207253886,0.02590673575,0.4274611399,0.6476683938,0.07772020725,0.04922279793,0.0310880829,0.0310880829
Chad,0.04922279793,0.3911917098,0.5025906736,0.0103626943,0.01813471503,0.932642487,0.7020725389,0.0932642487,0.03367875648,0.0518134715,0.0518134715
Chile,0.7357512953,0.6632124352,0.2098445596,0.8134715026,0.7979274611,0.3678756477,0.8186528497,0.8523316062,0.7875647668,0.9119170984,0.9119170984
China,0.6839378238,0.9896373057,0.5207253886,0.7305699482,0.6062176166,0.6191709845,0.2642487047,0.5259067358,0.3575129534,0.06994818653,0.06994818653
Colombia,0.5440414508,0.5077720207,0.06735751295,0.7046632124,0.585492228,0.225388601,0.4559585492,0.4611398964,0.3886010363,0.6528497409,0.6528497409
Comoros,0.1761658031,0.3367875648,0.1917098446,0.207253886,0.170984456,0.4663212435,0.8860103627,0.2616580311,0.1968911917,0.2616580311,0.2616580311
Congo,0.2435233161,0.1113989637,0.08031088083,0.1554404145,0.2124352332,0.2564766839,0.2124352332,0.07772020725,0.1165803109,0.1658031088,0.1658031088
Costa Rica,0.6943005181,0.6735751295,0.1295336788,0.8031088083,0.7227979275,0.2098445596,0.3626943005,0.7046632124,0.810880829,0.9170984456,0.9170984456
Côte d'Ivoire,0.2642487047,0.05440414508,0.5129533679,0.0725388601,0.1865284974,0.8056994819,0.5699481865,0.3704663212,0.3031088083,0.3471502591,0.3471502591
Croatia,0.7564766839,0.829015544,0.8367875648,0.7512953368,0.8082901554,0.4948186528,0.274611399,0.6554404145,0.7124352332,0.6088082902,0.6088082902
Cuba,0.5803108808,0.5284974093,0.1606217617,0.7357512953,0.6761658031,0.9067357513,0.6269430052,0.6139896373,0.3031088083,0.1554404145,0.1554404145
Cyprus,0.8186528497,0.7823834197,0.774611399,0.8393782383,0.7668393782,0.3393782383,0.1088082902,0.6917098446,0.810880829,0.7823834197,0.7823834197
Czechia,0.8134715026,0.8082901554,0.932642487,0.7875647668,0.9119170984,0.9067357513,0.6943005181,0.7331606218,0.8601036269,0.878238342,0.878238342
Democratic People's Republic of Korea,0.1347150259,0.9067357513,0.7461139896,0.9430051813,0.06735751295,0.8393782383,0.1347150259,0.00518134715,0.00518134715,0.01813471503,0.01813471503
Democratic Republic of the Congo,0.03626943005,0.1243523316,0.292746114,0.03626943005,0.08808290155,0.6191709845,0.9533678756,0.0621761658,0.06476683938,0.05699481865,0.05699481865
Denmark,0.9585492228,0.8808290155,0.9067357513,0.8549222798,0.9689119171,0.9067357513,0.8549222798,1,0.9974093264,0.9740932642,0.9740932642
Djibouti,0.3005181347,0.1658031088,0.310880829,0.1658031088,0.1139896373,0.00518134715,0.5233160622,0.2616580311,0.2668393782,0.1606217617,0.1606217617
Dominica,0.5751295337,0.1347150259,0.01554404145,0.3626943005,0.5751295337,0.02590673575,0.170984456,0.7512953368,0.6398963731,0.7901554404,0.7901554404
Dominican Republic,0.5958549223,0.4844559585,0.4533678756,0.5129533679,0.5544041451,0.585492228,0.5129533679,0.2616580311,0.4300518135,0.5699481865,0.5699481865
Ecuador,0.5129533679,0.3471502591,0.1735751295,0.6787564767,0.4922279793,0.6787564767,0.4430051813,0.3704663212,0.3575129534,0.4559585492,0.4559585492
Egypt,0.3367875648,0.310880829,0.7512953368,0.3937823834,0.5129533679,0.3834196891,0.1554404145,0.3134715026,0.08808290155,0.1917098446,0.1917098446
El Salvador,0.414507772,0.207253886,0.4196891192,0.4248704663,0.2538860104,0.4455958549,0.2020725389,0.3704663212,0.3031088083,0.3937823834,0.3937823834
Equatorial Guinea,0.5492227979,0.0725388601,0.103626943,0.1243523316,0.2383419689,0.5077720207,0.6735751295,0.0518134715,0.08808290155,0.0621761658,0.0621761658
Eritrea,0.0414507772,0.1813471503,0.4974093264,0.2901554404,0.0932642487,0.4663212435,0.01554404145,0.103626943,0.05699481865,0.08808290155,0.08808290155
Estonia,0.8031088083,0.9533678756,0.8056994819,0.7668393782,0.3264248705,0.4948186528,0.9430051813,0.914507772,0.9196891192,0.8678756477,0.8678756477
Eswatini,0.3834196891,0.1917098446,0.04663212435,0.1347150259,0.0829015544,0.03626943005,0.8911917098,0.4378238342,0.3575129534,0.2020725389,0.2020725389
Ethiopia,0.1010362694,0.170984456,0.6088082902,0.2331606218,0.2331606218,0.8626943005,0.518134715,0.4378238342,0.1476683938,0.2461139896,0.2461139896
Fiji,0.4922279793,0.5569948187,0.8056994819,0.2383419689,0.3704663212,0.5725388601,0.1813471503,0.7150259067,0.4766839378,0.4455958549,0.4455958549
Finland,0.9222797927,0.9740932642,0.9222797927,0.8497409326,0.9766839378,0.4015544041,0.2953367876,0.9948186528,0.9844559585,0.981865285,0.981865285
France,0.8860103627,0.8549222798,0.8056994819,0.9378238342,0.8756476684,0.3886010363,0.09844559585,0.8678756477,0.8601036269,0.981865285,0.981865285
Gabon,0.5647668394,0.1113989637,0.4740932642,0.274611399,0.4844559585,0.04663212435,0.3989637306,0.2331606218,0.170984456,0.8937823834,0.8937823834
Republic of The Gambia,0.06735751295,0.03626943005,0.4196891192,0.1606217617,0.2797927461,0.292746114,0.207253886,0.4041450777,0.4300518135,0.274611399,0.274611399
Georgia,0.4507772021,0.5906735751,0.6528497409,0.5388601036,0.4222797927,0.1917098446,0.5336787565,0.7331606218,0.7487046632,0.4766839378,0.4766839378
Germany,0.896373057,0.9611398964,0.774611399,0.829015544,0.9766839378,0.5725388601,0.3367875648,0.9378238342,0.9507772021,0.4041450777,0.4041450777
Ghana,0.2590673575,0.05440414508,0.2487046632,0.1502590674,0.3419689119,0.6917098446,0.2461139896,0.5569948187,0.5829015544,0.9430051813,0.9430051813
Greece,0.7823834197,0.7409326425,0.6735751295,0.8445595855,0.8652849741,0.1813471503,0.0103626943,0.6373056995,0.7124352332,0.5803108808,0.5803108808
Grenada,0.6165803109,0.414507772,0.2383419689,0.5751295337,0.6476683938,0.0207253886,0.3471502591,0.7823834197,0.6813471503,0.878238342,0.878238342
Guatemala,0.4455958549,0.0207253886,0.1113989637,0.4507772021,0.378238342,0.7668393782,0.8756476684,0.1606217617,0.2668393782,0.3704663212,0.3704663212
